epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.325,1.59541,3.41811,2.13251,0.01448,0.9697,0.15106,0.07216,1.22112,4.144,2.39296,0.0001,0.0001,0.0001
2,192.931,1.36609,2.98856,1.8946,0.01567,0.9697,0.24723,0.12305,1.69653,4.11172,2.57194,0.000208293,0.000208293,0.000208293
3,255.227,1.29658,2.56339,1.76915,0.01382,0.9697,0.22701,0.1254,1.24685,3.86915,2.08617,0.00031213,0.00031213,0.00031213
4,318.02,1.26029,2.45298,1.74602,0.01528,0.9697,0.38515,0.18712,1.40734,3.6707,2.48943,0.000411512,0.000411512,0.000411512
5,379.766,1.26716,2.32397,1.72982,0.49675,0.18182,0.37525,0.21465,1.34751,3.38933,2.5033,0.00050644,0.00050644,0.00050644
6,442.62,1.26993,2.14402,1.7198,0.8662,0.09048,0.54875,0.32323,1.2769,3.37045,2.3772,0.000596913,0.000596913,0.000596913
7,504.257,1.2995,2.0883,1.7636,0.91175,0.24242,0.5471,0.19036,1.4964,3.38262,2.49255,0.00068293,0.00068293,0.00068293
8,567.233,1.24993,2.01558,1.68162,0.61307,0.53639,0.49943,0.28177,1.38487,3.43861,2.39675,0.000764493,0.000764493,0.000764493
9,630.446,1.22152,1.90902,1.67603,0.65469,0.25632,0.31057,0.1514,1.41151,3.31428,2.67885,0.0008416,0.0008416,0.0008416
10,693.815,1.21081,1.9376,1.65865,0.55073,0.26646,0.33153,0.15324,1.46508,3.27845,2.66494,0.000914253,0.000914253,0.000914253
11,754.76,1.19498,1.91382,1.69158,0.46072,0.48724,0.49371,0.23045,1.4753,3.84677,2.8519,0.00098245,0.00098245,0.00098245
12,820.157,1.25843,1.88631,1.70272,0.82975,0.26667,0.45505,0.26392,1.33584,5.59983,2.31839,0.00097775,0.00097775,0.00097775
13,887.361,1.18897,1.85136,1.64082,0.78309,0.32121,0.41561,0.13883,1.85885,3.41497,3.17509,0.000953,0.000953,0.000953
14,951.897,1.19215,1.79822,1.66582,0.45233,0.51717,0.35728,0.14386,1.71411,3.64348,2.82315,0.00092825,0.00092825,0.00092825
15,1015.74,1.14949,1.74614,1.60397,0.55543,0.5899,0.50256,0.2015,1.92043,3.54348,2.99287,0.0009035,0.0009035,0.0009035
16,1076.71,1.16838,1.73095,1.60833,0.694,0.52929,0.6246,0.37014,1.56317,3.49731,2.55239,0.00087875,0.00087875,0.00087875
17,1137.45,1.06956,1.61066,1.54721,0.53122,0.47884,0.46232,0.27475,1.73547,3.66832,2.78343,0.000854,0.000854,0.000854
18,1198.7,1.1526,1.6698,1.57817,0.48488,0.32929,0.41725,0.25785,1.46993,3.28006,2.53753,0.00082925,0.00082925,0.00082925
19,1260.45,1.1694,1.66891,1.66204,0.59772,0.38979,0.49626,0.28688,1.51388,2.75459,2.78508,0.0008045,0.0008045,0.0008045
20,1322.73,1.11831,1.61746,1.57405,0.60296,0.69139,0.6361,0.33395,1.56467,2.30581,2.54134,0.00077975,0.00077975,0.00077975
21,1384.98,1.10367,1.52433,1.57454,0.59411,0.70801,0.69135,0.37743,1.46625,2.3043,2.54784,0.000755,0.000755,0.000755
22,1448.99,1.049,1.53192,1.54904,0.5094,0.83495,0.60226,0.33221,1.47802,2.41585,2.67845,0.00073025,0.00073025,0.00073025
23,1515.93,1.07071,1.51026,1.54197,0.64557,0.81141,0.74492,0.44821,1.38068,2.20497,2.45288,0.0007055,0.0007055,0.0007055
24,1578.12,1.02481,1.42546,1.47101,0.62535,0.81236,0.81907,0.43262,1.58068,2.24772,2.57419,0.00068075,0.00068075,0.00068075
25,1640.23,1.02402,1.53224,1.51522,0.52973,0.84242,0.73646,0.39171,1.61421,2.46296,2.65636,0.000656,0.000656,0.000656
26,1702.69,0.96366,1.29237,1.41911,0.59183,0.81212,0.70428,0.37558,1.54199,2.3354,2.52167,0.00063125,0.00063125,0.00063125
27,1763.98,0.96489,1.3169,1.42843,0.45903,0.71246,0.63696,0.34883,1.5096,2.222,2.52971,0.0006065,0.0006065,0.0006065
28,1825.13,0.96321,1.27271,1.41596,0.48095,0.66465,0.53647,0.29621,1.51233,2.26526,2.51884,0.00058175,0.00058175,0.00058175
29,1887.03,0.9327,1.32419,1.45713,0.51371,0.65571,0.51481,0.32228,1.50854,2.43015,2.4544,0.000557,0.000557,0.000557
30,1951.67,0.92848,1.28043,1.43661,0.63339,0.82015,0.64562,0.43039,1.37374,2.2624,2.33064,0.00053225,0.00053225,0.00053225
31,2013.21,0.93485,1.25123,1.40325,0.63993,0.51413,0.57981,0.37212,1.3491,2.28661,2.26223,0.0005075,0.0005075,0.0005075
32,2074.84,0.88315,1.18468,1.38363,0.52142,0.75607,0.54094,0.33315,1.44446,2.25259,2.36794,0.00048275,0.00048275,0.00048275
